ATVI,Activision Blizzard
ADBE,Adobe Inc
AMD,Advanced Micro Devices
ALXN,Alexion Pharmaceuticals
ALGN,Align Technology Inc
GOOGL,Alphabet Inc (voting shares)
GOOG,Alphabet Inc (non-voting shares)
AMZN,Amazon.com Inc
AAL,American Airlines Group
AMGN,Amgen Inc
ADI,Analog Devices
AAPL,Apple Inc
AMAT,Applied Materials Inc
ASML,ASML Holding
ADSK,Autodesk Inc
ADP,Automatic Data Processing Inc
BIDU,Baidu.com Inc
BIIB,Biogen Inc
BMRN,BioMarin Pharmaceutical Inc
BKNG,Booking Holdings
AVGO,Broadcom Inc
CDNS,Cadence Design Systems Inc
CELG,Celgene Corporation
CERN,Cerner Corporation
CHTR,Charter Communications Inc
CHKP,Check Point Software Technologies Ltd.
CTAS,Cintas Corporation
CSCO,Cisco Systems Inc
CTXS,Citrix Systems Inc
CTSH,Cognizant Technology Solutions Corporation
CMCSA,Comcast Corporation
COST,Costco Wholesale Corporation
CSX,CSX Corporation
CTRP,Ctrip International
DLTR,Dollar Tree Inc
EBAY,eBay Inc
EA,Electronic Arts
EXPE,Expedia Group
FB,Facebook Inc
FAST,Fastenal Company
FISV,Fiserv Inc
GILD,Gilead Sciences Inc
HAS,Hasbro Inc
HSIC,Henry Schein Inc
IDXX,IDEXX Laboratories Inc
ILMN,Illumina Inc
INCY,Incyte Corporation
INTC,Intel Corporation
INTU,Intuit Inc
ISRG,Intuitive Surgical Inc
JBHT,J.B. Hunt Transport Services Inc
JD,JD.com
KLAC,KLA-Tencor Corporation
LRCX,Lam Research Inc
LBTYA,Liberty Global (voting shares)
LBTYK,Liberty Global (non-voting shares)
LULU,Lululemon athletica
MAR,Marriott International Inc
MXIM,Maxim Integrated Products
MELI,MercadoLibre
MCHP,Microchip Technology
MU,Micron Technology Inc
MSFT,Microsoft Corporation
MDLZ,Mondelēz International
MNST,Monster Beverage
MYL,Mylan N.V.
NTAP,NetApp
NTES,NetEase Inc
NFLX,Netflix
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors
ORLY,O'Reilly Automotive Inc
PCAR,PACCAR Inc
PAYX,Paychex Inc
PYPL,PayPal Holdings Inc
PEP,PepsiCo Inc
QCOM,QUALCOMM Incorporated
REGN,Regeneron Pharmaceuticals
ROST,Ross Stores Inc
SIRI,Sirius XM Radio Inc
SWKS,Skyworks Solutions Inc
SBUX,Starbucks Corporation
SYMC,Symantec Corporation
SNPS,Synopsys Inc
TMUS,T-Mobile US
TTWO,Take-Two Interactive Inc
TSLA,Tesla Inc
TXN,Texas Instruments Inc
KHC,The Kraft Heinz Company
FOXA,Twenty-First Century Fox (non-voting shares)
FOX,Twenty-First Century Fox (voting shares)
ULTA,Ulta Beauty
UAL,United Continental Holdings
VRSN,VeriSign
VRSK,Verisk Analytics
VRTX,Vertex Pharmaceuticals
WBA,Walgreens Boots Alliance
WDC,Western Digital
WLTW,Willis Towers Watson
WDAY,Workday Inc
WYNN,Wynn Resorts
XEL,Xcel Energy Inc
XLNX,Xilinx Inc
